time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,0.0,0.0,1.06991385383,0.0,0.0,0.0,0.0,0.0,2.32882286704,0.0,0.0,0.0
0.12000000000000001,0.0,0.0,1.27892238304,0.0,0.0,0.0,0.0,0.0,4.63184277876,0.0,0.0,0.0
0.18,0.0,0.0,1.62450429549,0.0,0.0,0.0,0.0,0.0,6.87693143815,0.0,0.0,0.0
0.23999999999999996,0.0,0.0,2.10243730933,0.0,0.0,0.0,0.0,0.0,9.03971178363,0.0,0.0,0.0
0.3,0.0,0.0,2.70694132358,0.0,0.0,0.0,0.0,0.0,11.0928375161,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,3.43092321396,0.0,0.0,0.0,0.0,0.0,13.0199463261,0.0,0.0,0.0
0.4200000000000001,0.0,0.0,4.26630020505,0.0,0.0,0.0,0.0,0.0,14.8044945007,0.0,0.0,0.0
0.48000000000000015,0.0,0.0,5.20424829674,0.0,0.0,0.0,0.0,0.0,16.4382630745,0.0,0.0,0.0
0.5400000000000001,0.0,0.0,6.23572548674,0.0,0.0,0.0,0.0,0.0,17.922059649,0.0,0.0,0.0
0.6000000000000002,0.0,0.0,7.35171244754,0.0,0.0,0.0,0.0,0.0,19.2557862473,0.0,0.0,0.0
0.6600000000000003,0.0,0.0,8.54340037629,0.0,0.0,0.0,0.0,0.0,20.4463759288,0.0,0.0,0.0
0.7200000000000003,0.0,0.0,9.80244970795,0.0,0.0,0.0,0.0,0.0,21.5024201884,0.0,0.0,0.0
0.7800000000000004,0.0,0.0,11.1210410821,0.0,0.0,0.0,0.0,0.0,22.4325829843,0.0,0.0,0.0
0.8400000000000004,0.0,0.0,12.4919002658,0.0,0.0,0.0,0.0,0.0,23.2462819048,0.0,0.0,0.0
0.9000000000000005,0.0,0.0,13.9083840889,0.0,0.0,0.0,0.0,0.0,23.9550237851,0.0,0.0,0.0
