time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.25669729707e-08,-9.32233211133e-08,10.003432816,6.28298356295,1.56841671508e-05,0.0,-1.24089131749e-06,-1.25402755158e-05,0.114421832209,-0.0111176682883,0.000779195249878,0.0,441.1985527792042,441.26286307591477,442.13148309174113,441.2147904385984
0.12000000000000001,-1.09996878465e-06,-8.42302946055e-06,10.0156329506,6.28213713922,0.000424563200201,0.0,-6.32843842607e-05,-0.000350125410186,0.292219886409,-0.0208797909764,0.0167582411349,0.0,460.42875238671877,461.6908957095687,461.22753944318146,460.45614881095435
0.18,-1.79607406546e-05,-5.58635459591e-05,10.0361063418,6.28057068389,0.00184591555675,0.0,-0.000624909571726,-0.00137164445558,0.390197170073,-0.0394284240535,0.0348286282351,0.0,435.8203498493506,437.3279259279207,436.92695822172533,435.37784829535894
0.23999999999999996,-0.000109513723167,-0.000212164921434,10.06611727,6.27825191286,0.00375808787293,0.0,-0.0026672166926,-0.0041185726277,0.610073702305,-0.0371262511232,0.02517612695,0.0,474.84474138143355,474.1041044300566,472.644847568192,472.8215766150388
0.3,-0.000354197723572,-0.000570661610236,10.1060511108,6.2766407048,0.00505897000192,0.0,-0.00563548955772,-0.00802428225749,0.720988684613,-0.0116986881067,0.0135701156578,0.0,442.0883363140533,441.1311525583267,438.8502543702336,440.9552208227715
0.36000000000000004,-0.000802867407179,-0.00119324566727,10.1528612655,6.27631275985,0.00592557546914,0.0,-0.00940781185684,-0.0127795522339,0.839269109504,0.00474675762853,0.0161351514473,0.0,443.57608072687077,443.7865363727085,442.0823808498268,443.4352786233738
0.4200000000000001,-0.00150933377512,-0.0021183498961,10.2088231135,6.27687417177,0.00685857663002,0.0,-0.0142493551483,-0.0180061633209,1.02597633139,0.0172702332292,0.0143533497806,0.0,464.67219583690434,464.53240411313766,463.5844068331061,464.5671720431451
0.48000000000000015,-0.0025025715803,-0.00331904250773,10.2724381656,6.27822283619,0.00750363368514,0.0,-0.0189326166632,-0.021898903853,1.09446213442,0.0312606665088,0.00234437711245,0.0,428.466007444473,427.44383648894967,427.1877944354679,428.37902612851457
0.5400000000000001,-0.00378538987376,-0.00472246123293,10.3399523346,6.28057584985,0.00762922625519,0.0,-0.0238403837064,-0.0246745286989,1.15595048084,0.0516586407576,0.0015860461699,0.0,426.12669543240804,426.0618292266147,424.49898027341965,426.24637015631384
0.6000000000000002,-0.00536970332777,-0.00624364511175,10.4116606803,0.000539754763185,0.00839708621015,0.0,-0.0290182623354,-0.0257227843275,1.23424627093,0.05409331311,0.0289712428225,0.0,431.5990927692094,433.90392755904094,429.77367122048486,429.98185187332325
0.6600000000000003,-0.00728326484185,-0.00776435241097,10.4877819887,0.00398761618602,0.0105561873296,0.0,-0.0349589502247,-0.0246409631356,1.30305221561,0.0634709783739,0.0472312858807,0.0,428.32284399139706,429.87341122012714,427.37044072046467,428.17131215009067
0.7200000000000003,-0.00962320885102,-0.00914035873069,10.5701514374,0.00777366072235,0.0136779947133,0.0,-0.0433599662074,-0.0208173105208,1.44242451588,0.0623501522749,0.0602189607862,0.0,450.39627586591223,451.44703368713533,450.95833511329175,450.870626575546
0.7800000000000004,-0.0125324251658,-0.0102062717711,10.6604663702,0.0126117639641,0.0168300729176,0.0,-0.0539779022458,-0.0142461553198,1.5678994814,0.103249360618,0.0291069910227,0.0,448.8127579450018,446.28234351999606,444.76184786564676,448.1033846607386
0.8400000000000004,-0.0161487242874,-0.0107584454341,10.7588850681,0.0186096620329,0.0181368240097,0.0,-0.0667353634354,-0.00349944681905,1.71250537676,0.0924256450589,0.000125923687059,0.0,454.7399429963021,452.41268459165576,453.4182477655893,452.5562947865152
0.9000000000000005,-0.020553898391,-0.0105332892695,10.8660695182,0.0250135754701,0.0183034611069,0.0,-0.0801097901713,0.0116617888427,1.86006697831,0.12595650193,0.00761319955204,0.0,454.5231982133733,455.12275959753043,453.14169454783973,455.8381216444561
0.9600000000000005,-0.0257294324908,-0.00930396307666,10.9800671864,0.0322729441697,0.0187206872042,0.0,-0.0924490756419,0.0300480160282,1.9397016474,0.108538635076,0.00560112974493,0.0,434.52265415357306,434.35384869687715,434.1120668756885,432.66160394592595
1.0200000000000005,-0.0315900154684,-0.00694241740567,11.0954744733,0.0387036456074,0.0187988654769,0.0,-0.102923513136,0.0492054162475,1.90724291398,0.104311336238,-0.00909336929927,0.0,397.6287653158332,396.2803678171946,396.5920298376977,396.21518988487355
1.0800000000000005,-0.0381279094678,-0.00321845355599,11.2116004448,0.0448569523276,0.0184361518565,0.0,-0.114961971867,0.0755160149426,1.96350247162,0.0987918200365,-0.000556119998348,0.0,425.93217837852063,426.66173441984824,427.1756382578183,426.71433085856995
1.1400000000000006,-0.0454608479384,0.00239247247773,11.3352306328,0.0510436035122,0.0194223893538,0.0,-0.129532792108,0.11220177508,2.15712148393,0.110583729475,0.0380217040022,0.0,469.111802411367,472.0976841777652,468.1204610923184,469.04566626572336
1.2000000000000006,-0.0536475591411,0.0102151719551,11.4678465481,0.0575185531638,0.0218245064777,0.0,-0.14359520322,0.149218655581,2.26315955353,0.101966156923,0.0437846705559,0.0,443.5037713963692,443.97765465019734,443.9674566048598,443.27010328018775
